Graph String Name,Masrik Form of Adjacency Matrix
ETzg,"[0 1 1 1 1 0]
[1 0 1 1 1 0]
[1 1 0 1 0 1]
[1 1 1 0 0 1]
[1 1 0 0 0 0]
[0 0 1 1 0 0]"
ETzw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 0 1]
[1 1 1 0 0 1]
[1 1 0 0 0 0]
[1 0 1 1 0 0]"
ETno,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 1 0 1]
[1 1 1 0 0 1]
[1 0 0 0 0 0]
[0 1 1 1 0 0]"
ETnw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 1 0]
[1 1 1 0 1 0]
[1 1 1 1 0 0]
[1 0 0 0 0 0]"
ET~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 0]
[1 1 1 0 1 0]
[1 1 1 1 0 0]
[1 1 0 0 0 0]"
EV~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 1]
[1 1 1 0 1 0]
[1 1 1 1 0 0]
[1 1 1 0 0 0]"
E]zo,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 1 1]
[1 1 0 0 1 1]
[1 0 1 1 0 0]
[0 1 1 1 0 0]"
E]zg,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 1 0 1]
[1 1 1 0 0 1]
[1 0 0 0 0 1]
[0 1 1 1 1 0]"
E]yw,"[0 1 1 1 1 0]
[1 0 1 0 1 1]
[1 1 0 0 1 1]
[1 0 0 0 1 1]
[1 1 1 1 0 0]
[0 1 1 1 0 0]"
E]zw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 0 1]
[1 1 1 0 0 1]
[1 1 0 0 0 1]
[1 0 1 1 1 0]"
E]~o,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 1 1]
[1 1 0 0 1 1]
[1 0 1 1 0 1]
[0 1 1 1 1 0]"
E]~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 0]
[1 1 1 0 0 1]
[1 1 1 0 0 1]
[1 1 0 1 1 0]"
E^~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 1]
[1 1 1 0 1 1]
[1 1 1 1 0 0]
[1 1 1 1 0 0]"
E~~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 1]
[1 1 1 0 1 1]
[1 1 1 1 0 1]
[1 1 1 1 1 0]"
