Graph String Name,Masrik Form of adjacency matrix
J?bBdS{]Eg?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 0 1 1 0 0 0 0 0 1]
[0 1 0 1 0 0 0 1 1 0 0]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 0 1 0 0 0 0]
[0 0 1 0 1 0 0 1 0 0 1]
[0 0 1 0 0 1 0 1 0 1 0]"
J?bBbTsmCw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 0 0 1 1 0 0 0 0]
[1 1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 1 0 1 0]
[0 1 0 0 1 0 1 0 0 0 1]
[0 1 0 0 0 1 0 0 0 1 1]
[0 0 1 1 1 0 0 0 1 0 0]
[0 0 1 1 0 0 0 1 0 0 1]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 0 0 1 1 0 1 1 0]"
J?bBbS{mEg?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 1 0 1 0 0 0 0 0]
[1 1 0 0 0 0 1 1 0 0 0]
[1 1 0 0 0 0 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 1 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 0 1 0 0 1 0 0 1]
[0 0 1 0 0 0 1 0 1 0 1]
[0 0 0 1 1 1 0 1 0 0 0]
[0 0 0 1 1 1 0 0 0 0 1]
[0 0 0 0 0 1 1 1 0 1 0]"
J?bBbLwmCw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 0 1 1 0 0 1 0 0 0]
[0 1 0 0 1 0 0 1 0 0 1]
[0 1 0 0 0 1 1 0 0 0 1]
[0 0 1 1 1 0 0 0 0 1 0]
[0 0 1 1 0 0 0 0 1 0 1]
[0 0 1 0 0 0 1 1 0 1 0]"
J?bBc^o]@w?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 0 1 1 0 0 0 0 0 1]
[0 1 0 0 0 0 0 1 1 0 1]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 0 1 0 0 0 0]
[0 0 1 1 1 0 0 1 0 0 0]
[0 0 1 0 0 1 1 1 0 0 0]"
J?bERhsm@s?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 0 0 1 1 0 0 0 0]
[1 1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 1 1 0 1]
[0 0 1 0 0 0 1 0 0 1 1]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?bBTqwTbg?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 0 0 1 1 0 0 0 0]
[1 1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 0 1 1 1 0]
[0 1 1 1 0 0 0 1 0 0 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 0 1 1 0 0 0 0 1]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?bBTjS]@s?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 1 0 0 0 1]
[0 1 1 0 1 0 1 0 0 0 0]
[0 1 0 1 1 1 0 0 0 0 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 1 0 0 0 1 0 1 0]
[0 0 1 0 0 0 0 1 1 0 1]
[0 0 0 1 1 0 0 1 0 1 0]"
J?bBQvol@w?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 0 1 0 0 1 1]
[0 1 1 0 0 0 1 0 0 0 1]
[0 1 0 1 1 1 0 0 0 0 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 1 0 0 0 1 0 1 0]
[0 0 1 0 1 0 0 1 1 0 0]
[0 0 0 1 1 1 0 1 0 0 0]"
J?bDN_{]As?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 1 0 1 0 0 0 0 0 1]
[0 1 0 1 1 0 0 0 0 1 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 1 1 0 0 1 0 0 0]
[0 0 1 0 0 0 1 1 0 0 1]
[0 0 0 1 0 1 0 1 0 1 0]"
J?bDMps]@s?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 1 0 1 0 0 0 0 1 0]
[0 1 0 1 1 0 0 1 0 0 0]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 1 0 0 1 0 1 0 0 1]
[0 0 0 1 0 0 0 1 1 1 0]"
J?bDMo{]Bc?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 1 0 1 0 0 0 0 0 1]
[0 1 0 1 1 0 0 1 0 0 0]
[0 1 0 0 0 0 1 0 0 1 1]
[0 0 1 1 1 0 0 0 0 1 0]
[0 0 1 0 0 0 0 1 1 0 1]
[0 0 0 1 0 1 0 1 0 1 0]"
J?`fF`wf?{?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 0 0 1 0 0 0 0 1 1]
[0 1 0 0 1 0 0 1 0 1 0]
[0 1 0 0 0 0 1 0 1 0 1]
[0 0 1 1 1 0 0 1 0 0 0]
[0 0 1 1 0 1 1 0 0 0 0]
[0 0 1 1 0 1 0 1 0 0 0]"
